filename,accuracy,size,correct,length
005275_taylor_1858.png,0.0,1,0,14
005275_taylor_1858.png,0.0,2,0,14
005275_taylor_1858.png,0.0,3,0,14
005275_taylor_1858.png,0.0,4,0,14
005275_taylor_1858.png,0.0,5,0,14
005275_taylor_1858.png,0.0,6,0,14
005275_taylor_1858.png,0.0,7,0,14
005275_taylor_1858.png,0.0,8,0,14
005275_taylor_1858.png,0.0,9,0,14
005275_taylor_1858.png,0.0,10,0,14
005275_taylor_1858.png,0.0,11,0,14
005275_taylor_1858.png,0.0,12,0,14
005275_taylor_1858.png,0.0,13,0,14
005275_taylor_1858.png,0.0,14,0,14
005275_taylor_1858.png,0.07142857142857142,15,1,14
005275_taylor_1858.png,0.07142857142857142,16,1,14
005275_taylor_1858.png,0.21428571428571427,17,3,14
005275_taylor_1858.png,0.21428571428571427,18,3,14
005275_taylor_1858.png,0.21428571428571427,19,3,14
005275_taylor_1858.png,0.2857142857142857,20,4,14
005275_taylor_1858.png,0.35714285714285715,21,5,14
005275_taylor_1858.png,0.35714285714285715,22,5,14
005275_taylor_1858.png,0.35714285714285715,23,5,14
005275_taylor_1858.png,0.5,24,7,14
005275_taylor_1858.png,0.5714285714285714,25,8,14
005275_taylor_1858.png,0.6428571428571429,26,9,14
005275_taylor_1858.png,0.8571428571428571,27,12,14
005275_taylor_1858.png,0.6428571428571429,28,9,14
005275_taylor_1858.png,0.9285714285714286,29,13,14
005275_taylor_1858.png,0.7857142857142857,30,11,14
005275_taylor_1858.png,0.7857142857142857,31,11,14
005275_taylor_1858.png,0.7857142857142857,32,11,14
005275_taylor_1858.png,0.7142857142857143,33,10,14
005275_taylor_1858.png,0.7857142857142857,34,11,14
005275_taylor_1858.png,0.8571428571428571,35,12,14
005275_taylor_1858.png,0.7142857142857143,36,10,14
005275_taylor_1858.png,0.7142857142857143,37,10,14
005275_taylor_1858.png,0.7142857142857143,38,10,14
005275_taylor_1858.png,0.7857142857142857,39,11,14
005275_taylor_1858.png,0.7857142857142857,40,11,14
005275_taylor_1858.png,0.8571428571428571,41,12,14
005275_taylor_1858.png,0.7857142857142857,42,11,14
005275_taylor_1858.png,0.7142857142857143,43,10,14
005275_taylor_1858.png,0.7142857142857143,44,10,14
005275_taylor_1858.png,0.8571428571428571,45,12,14
005275_taylor_1858.png,0.6428571428571429,46,9,14
005275_taylor_1858.png,0.7857142857142857,47,11,14
005275_taylor_1858.png,0.7857142857142857,48,11,14
005275_taylor_1858.png,0.7857142857142857,49,11,14
005275_taylor_1858.png,0.9285714285714286,50,13,14
005275_taylor_1858.png,0.8571428571428571,51,12,14
005275_taylor_1858.png,0.8571428571428571,52,12,14
005275_taylor_1858.png,0.8571428571428571,53,12,14
005275_taylor_1858.png,0.8571428571428571,54,12,14
005275_taylor_1858.png,0.8571428571428571,55,12,14
005275_taylor_1858.png,0.7857142857142857,56,11,14
005275_taylor_1858.png,0.7857142857142857,57,11,14
005275_taylor_1858.png,0.8571428571428571,58,12,14
005275_taylor_1858.png,0.8571428571428571,59,12,14
005275_taylor_1858.png,0.8571428571428571,60,12,14
005275_taylor_1858.png,0.8571428571428571,61,12,14
005275_taylor_1858.png,0.8571428571428571,62,12,14
005275_taylor_1858.png,0.8571428571428571,63,12,14
005275_taylor_1858.png,0.8571428571428571,64,12,14
005275_taylor_1858.png,0.8571428571428571,65,12,14
005275_taylor_1858.png,0.8571428571428571,66,12,14
005275_taylor_1858.png,0.8571428571428571,67,12,14
005275_taylor_1858.png,0.8571428571428571,68,12,14
005275_taylor_1858.png,0.9285714285714286,69,13,14
005275_taylor_1858.png,0.8571428571428571,70,12,14
005275_taylor_1858.png,0.7857142857142857,71,11,14
005275_taylor_1858.png,0.7857142857142857,72,11,14
005275_taylor_1858.png,0.9285714285714286,73,13,14
005275_taylor_1858.png,0.7857142857142857,74,11,14
005275_taylor_1858.png,0.9285714285714286,75,13,14
005275_taylor_1858.png,0.8571428571428571,76,12,14
005275_taylor_1858.png,0.8571428571428571,77,12,14
005275_taylor_1858.png,0.8571428571428571,78,12,14
005275_taylor_1858.png,0.8571428571428571,79,12,14
005275_taylor_1858.png,0.8571428571428571,80,12,14
005275_taylor_1858.png,0.8571428571428571,81,12,14
005275_taylor_1858.png,0.9285714285714286,82,13,14
005275_taylor_1858.png,0.9285714285714286,83,13,14
005275_taylor_1858.png,0.9285714285714286,84,13,14
005275_taylor_1858.png,0.8571428571428571,85,12,14
005275_taylor_1858.png,0.9285714285714286,86,13,14
005275_taylor_1858.png,1.0,87,14,14
005275_taylor_1858.png,0.7857142857142857,88,11,14
005275_taylor_1858.png,1.0,89,14,14
005275_taylor_1858.png,1.0,90,14,14
005275_taylor_1858.png,0.8571428571428571,91,12,14
005275_taylor_1858.png,1.0,92,14,14
005275_taylor_1858.png,1.0,93,14,14
005275_taylor_1858.png,0.9285714285714286,94,13,14
